time,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR
2020-08-10 20:00,26.9,729.7,749.8,0.8,70.0,从西南方吹来的风,2,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.3,29.9,,,,,,10.0,21.0,,
2020-08-10 23:00,23.8,730.0,750.1,0.3,83.0,从南方吹来的风,1,,10.0,,云量发展情况没有进行观测或无法观测。 ,,,21.3,29.9,,,,,,8.0,20.7,0.6,12.0
2020-08-11 02:00,22.6,730.2,750.3,0.2,80.0,从西南偏南方向吹来的风,2,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.3,29.9,,,,,,11.0,19.0,,12.0
2020-08-11 05:00,22.0,730.9,751.0,0.7,93.0,从西南偏南方向吹来的风,2,,,,薄雾 ,,,21.4,29.9,,,,,,6.0,20.8,,12.0
2020-08-11 08:00,24.3,732.1,752.2,1.2,85.0,从西南偏西方向吹来的风,5,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.6,29.9,,,,,,7.0,21.6,,12.0
2020-08-11 11:00,27.5,731.9,752.1,-0.2,67.0,从西南方吹来的风,4,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.6,29.9,,,,,,11.0,20.8,0.1,12.0
2020-08-11 14:00,29.6,732.0,752.1,0.1,62.0,从西南方吹来的风,4,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.6,29.9,,,,,,11.0,21.5,0.2,12.0
2020-08-11 17:00,25.9,732.6,752.8,0.6,64.0,从西南偏西方向吹来的风,4,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.6,30.2,,,,,,15.0,18.6,,
2020-08-11 20:00,23.5,733.9,754.3,1.3,65.0,从西南方吹来的风,2,,12.0,,云量发展情况没有进行观测或无法观测。 ,雨,在整个相应周期内云遮住了一半或以下的天空,21.6,30.2,,,,,,14.0,16.5,3.0,12.0
2020-08-11 23:00,23.5,734.5,754.7,0.6,72.0,从西南偏西方向吹来的风,2,,,,云量发展情况没有进行观测或无法观测。 ,,,21.6,30.2,,,,,,14.0,18.2,3.0,12.0
2020-08-12 02:00,23.6,734.7,754.9,0.2,89.0,从西南方吹来的风,4,,12.0,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,21.6,30.2,,,,,,6.0,21.7,3.0,12.0
2020-08-12 05:00,23.1,736.1,756.4,1.4,96.0,从西南偏西方向吹来的风,4,,10.0,,薄雾 ,,,21.8,,,,,,,3.5,22.4,,12.0
2020-08-12 08:00,25.1,736.9,757.3,0.8,72.0,从西方吹来的风,2,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.4,,,,,,,10.0,19.7,,12.0
2020-08-12 11:00,27.2,737.6,757.9,0.7,56.0,从西北偏西方向吹来的风,3,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.4,30.2,,,,,,19.0,17.7,,12.0
2020-08-12 14:00,29.0,737.1,757.3,-0.5,43.0,从西北偏西方向吹来的风,3,,10.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.4,30.2,,,,,,20.0,15.2,,12.0
2020-08-12 17:00,27.1,737.3,757.6,0.2,52.0,从西北偏西方向吹来的风,2,,8.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.5,29.3,,,,,,19.0,16.4,,12.0
2020-08-12 20:00,24.5,737.7,758.0,0.4,63.0,从北方吹来的风,3,,8.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.5,29.3,,,,,,17.0,17.0,,12.0
2020-08-12 23:00,23.1,737.7,758.0,0.0,70.0,从东方吹来的风,2,,8.0,,云量发展情况没有进行观测或无法观测。 ,,,22.7,29.3,,,,,,17.0,17.3,,12.0
2020-08-13 02:00,22.9,736.4,756.7,-1.3,68.0,从东方吹来的风,2,,7.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.6,29.3,,,,,,18.0,16.7,,12.0
2020-08-13 05:00,22.1,735.5,755.8,-0.9,78.0,从东方吹来的风,2,,6.0,,云量发展情况没有进行观测或无法观测。 ,,,21.9,29.3,,,,,,15.0,18.1,,12.0
2020-08-13 11:00,23.0,732.5,752.8,,93.0,从东方吹来的风,3,,7.0,,间歇性雨，不冻，在观测时较弱 ,雨,在整个相应周期内云遮住了一半或以下的天空,,,,,,,,8.0,21.8,10.0,12.0
2020-08-13 14:00,24.0,729.1,749.4,,85.0,从东南偏东方向吹来的风,5,,9.0,,间歇性雨，不冻，在观测时较弱 ,雨,在整个相应周期内云遮住了一半或以下的天空,20.3,,,,,,,7.0,21.3,10.0,12.0
2020-08-13 17:00,22.1,726.4,746.7,-2.7,98.0,从东南方吹来的风,5,,14.0,,间歇性雨，不冻，在观测时较弱 ,雨,在整个相应周期内云遮住了一半或以下的天空,20.3,27.0,,,,,,5.0,21.8,17.0,12.0
2020-08-13 20:00,23.4,725.7,745.9,-0.7,99.0,从西南方吹来的风,2,,14.0,,小雨（不冻） ,雨,在整个相应周期内云遮住了一半或以下的天空,20.3,24.7,,,,,,5.0,23.2,12.0,12.0
2020-08-13 23:00,20.2,726.1,746.3,0.4,93.0,从西方吹来的风,5,,14.0,,云量发展情况没有进行观测或无法观测。 ,,,20.2,24.7,,,,,,17.0,19.0,9.0,12.0
2020-08-14 02:00,18.9,726.7,747.0,0.6,96.0,从西南偏西方向吹来的风,3,,14.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.9,24.7,,,,,,17.0,18.3,9.0,12.0
2020-08-14 05:00,20.7,725.8,746.1,-0.9,95.0,从东南偏南方向吹来的风,2,,13.0,,小雨（不冻） ,,,18.9,24.7,,,,,,11.0,19.9,2.0,12.0
2020-08-14 08:00,25.7,725.6,745.6,-0.2,79.0,从西南方吹来的风,5,,13.0,,云量发展情况没有进行观测或无法观测。 ,雨,在整个相应周期内云遮住了一半或以下的天空,18.9,25.7,,,,,,7.0,21.8,,12.0
2020-08-14 11:00,26.7,725.7,745.8,0.1,63.0,从西南偏西方向吹来的风,5,,14.0,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.9,27.0,,,,,,13.0,19.1,,12.0
2020-08-14 14:00,28.3,725.8,745.9,0.1,51.0,从西南偏西方向吹来的风,7,,14.0,,云量发展情况没有进行观测或无法观测。 ,雨,在整个相应周期内云遮住了一半或以下的天空,18.9,28.3,,,,,,20.0,17.2,,12.0
2020-08-14 17:00,26.6,727.0,747.1,1.2,58.0,从西南偏西方向吹来的风,4,,14.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.9,28.3,,,,,,20.0,17.7,,12.0
2020-08-14 20:00,25.2,728.5,748.5,1.5,62.0,从西南偏西方向吹来的风,5,,14.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,28.3,,,,,,19.0,17.4,,12.0
2020-08-14 23:00,21.4,730.0,750.1,1.5,85.0,从西方吹来的风,1,,14.0,,云量发展情况没有进行观测或无法观测。 ,,,18.9,28.3,,,,,,17.0,18.8,,12.0
2020-08-15 02:00,18.5,730.4,750.7,0.4,99.0,无风,0,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.3,28.3,,,,,,9.0,18.3,,12.0
2020-08-15 05:00,18.9,731.1,751.4,0.7,90.0,从南方吹来的风,2,,,,云量发展情况没有进行观测或无法观测。 ,,,18.1,28.3,,,,,,15.0,17.2,,12.0
2020-08-15 08:00,22.6,732.3,752.5,1.2,75.0,从西南偏西方向吹来的风,4,,9.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.1,28.3,,,,,,18.0,17.9,,12.0
2020-08-15 11:00,25.9,732.6,752.9,0.3,62.0,从西南偏西方向吹来的风,4,,8.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.1,28.3,,,,,,20.0,18.1,,12.0
2020-08-15 14:00,27.9,732.5,752.8,-0.1,51.0,从西方吹来的风,4,,9.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.1,28.3,,,,,,21.0,16.8,,12.0
2020-08-15 17:00,27.0,732.7,753.1,0.2,52.0,从西方吹来的风,3,,9.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.1,28.5,,,,,,20.0,16.3,,12.0
2020-08-15 20:00,22.2,734.4,754.8,1.7,78.0,从西南方吹来的风,1,,9.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.1,28.5,,,,,,15.0,18.2,,12.0
2020-08-15 23:00,19.4,734.5,754.9,0.1,93.0,从西南偏西方向吹来的风,1,,9.0,,云量发展情况没有进行观测或无法观测。 ,,,18.1,28.5,,,,,,13.0,18.2,,12.0
2020-08-16 02:00,17.9,734.8,755.2,0.3,99.0,无风,0,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,17.9,28.5,,,,,,9.0,17.7,,12.0
2020-08-16 05:00,17.1,735.1,755.6,0.3,99.0,从北方吹来的风,0,,5.0,,薄雾 ,,,16.9,28.5,,,,,,6.0,16.9,,12.0
2020-08-16 08:00,26.3,735.5,755.8,0.4,67.0,从东南偏东方向吹来的风,1,,2.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.9,28.5,,,,,,13.0,19.7,,12.0
2020-08-16 11:00,28.9,735.5,755.8,0.0,51.0,从西北偏西方向吹来的风,1,,3.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.9,29.1,,,,,,17.0,17.8,,12.0
2020-08-16 14:00,30.4,735.4,755.8,-0.1,45.0,从西北方吹来的风,2,,6.0,,间歇性雨，不冻，在观测时较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.9,30.4,,,,,,16.0,17.1,,12.0
2020-08-16 17:00,29.2,735.5,755.9,0.1,50.0,从西北偏西方向吹来的风,3,,6.0,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.9,30.5,,,,,,17.0,17.7,,12.0
2020-08-16 20:00,23.4,736.4,756.7,0.9,81.0,从西南方吹来的风,1,,6.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.9,30.5,,,,,,12.0,20.0,,12.0
2020-08-16 23:00,22.5,736.9,757.1,0.5,85.0,从东南偏南方向吹来的风,1,,6.0,,云量发展情况没有进行观测或无法观测。 ,,,16.9,30.5,,,,,,11.0,19.9,,12.0
2020-08-17 02:00,22.3,737.0,757.3,0.1,79.0,从东南方吹来的风,1,,6.0,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,16.9,30.5,,,,,,12.0,18.5,,12.0
2020-08-17 05:00,22.3,737.2,757.4,0.2,78.0,从东南偏东方向吹来的风,1,,5.0,,云量发展情况没有进行观测或无法观测。 ,,,17.0,30.5,,,,,,13.0,18.3,,12.0
2020-08-17 08:00,24.3,737.4,757.8,0.2,68.0,从东南方吹来的风,3,,6.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,20.8,,,,,,,14.0,18.0,,12.0
2020-08-17 11:00,25.0,737.1,757.5,-0.3,75.0,从南方吹来的风,2,,6.0,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,20.8,,,,,,,12.0,20.3,,12.0
2020-08-17 14:00,23.4,736.2,756.7,-0.9,89.0,从东南偏东方向吹来的风,2,,,,间歇性雨，不冻，在观测时较弱 ,雨,在整个相应周期内云遮住了一半或以下的天空,20.8,,,,,,,8.0,21.5,0.7,12.0
2020-08-17 17:00,22.5,734.5,755.0,-1.7,99.0,从东南偏东方向吹来的风,2,,,,间歇性雨，不冻，在观测时较弱 ,雨,在整个相应周期内云遮住了一半或以下的天空,20.8,29.3,,,,,,3.3,22.3,2.0,12.0
2020-08-17 20:00,23.9,734.1,754.4,-0.4,99.0,从南方吹来的风,2,,6.0,,间歇性雨，不冻，在观测时较弱 ,雨,在整个相应周期内云遮住了一半或以下的天空,20.8,25.5,,,,,,3.0,23.7,5.0,12.0
2020-08-17 23:00,25.9,733.9,754.0,-0.2,93.0,从西南方吹来的风,5,,10.0,,小雨（不冻） ,,,20.8,26.0,,,,,,6.0,24.7,5.0,12.0
2020-08-18 02:00,26.2,733.3,753.6,-0.6,92.0,从西南方吹来的风,6,,12.0,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.0,26.4,,,,,,6.0,24.8,5.0,12.0
2020-08-18 05:00,26.2,733.7,754.0,0.4,92.0,从西南偏西方向吹来的风,5,,,,间歇性雨，不冻，在观测时较弱 ,,,22.1,26.4,,,,,,5.0,24.8,4.0,12.0
2020-08-18 08:00,26.0,734.8,755.0,1.1,89.0,从西方吹来的风,5,,12.0,,薄雾 ,雨,在整个相应周期内云遮住了一半或以下的天空,22.4,26.4,,,,,,6.0,24.0,,12.0
2020-08-18 11:00,28.9,734.9,755.0,0.1,63.0,从西方吹来的风,4,,12.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.4,28.9,,,,,,16.0,21.2,,12.0
2020-08-18 14:00,29.9,734.4,754.4,-0.5,53.0,从西南偏西方向吹来的风,2,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.4,29.9,,,,,,18.0,19.3,,12.0
2020-08-18 17:00,27.4,734.5,754.6,0.1,66.0,从西方吹来的风,1,,12.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,22.5,29.9,,,,,,16.0,20.5,,12.0
2020-08-18 20:00,21.3,735.3,755.7,0.8,92.0,从西北方吹来的风,1,,11.0,,间歇性雨，不冻，在观测时中度 ,雨,在整个相应周期内云遮住了一半或以下的天空,21.3,29.9,,,,,,5.0,19.9,3.0,12.0
2020-08-18 23:00,20.2,735.3,755.6,0.0,99.0,从西方吹来的风,2,,8.0,,间歇性雨，不冻，在观测时较弱 ,,,20.2,29.9,,,,,,4.0,20.0,8.0,12.0
2020-08-19 02:00,19.2,736.0,756.4,0.7,99.0,从西方吹来的风,1,,9.0,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,19.1,29.9,,,,,,5.0,19.0,17.0,12.0
2020-08-19 05:00,18.8,736.0,756.4,0.0,99.0,从西南方吹来的风,3,,9.0,,间歇性雨，不冻，在观测时较弱 ,,,18.8,29.9,,,,,,5.0,18.6,19.0,12.0
2020-08-19 08:00,19.3,737.0,757.6,1.0,99.0,从西方吹来的风,2,,9.0,,薄雾 ,雨,在整个相应周期内云遮住了一半或以下的天空,18.8,,,,,,,7.0,19.1,16.0,12.0
2020-08-19 11:00,20.1,737.5,758.2,0.5,97.0,从西北偏北方向吹来的风,3,,9.0,,间歇性雨，不冻，在观测时较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.8,,,,,,,6.0,19.6,11.0,12.0
2020-08-19 14:00,19.0,737.7,758.5,0.2,95.0,从西北偏北方向吹来的风,4,,7.0,,小雨（不冻） ,雨,在整个相应周期内云遮住了一半或以下的天空,18.8,,,,,,,11.0,18.2,2.0,12.0
2020-08-19 17:00,19.3,738.9,759.7,1.2,83.0,从北方吹来的风,3,,7.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,18.8,,,,,,,16.0,16.3,0.5,12.0
2020-08-19 20:00,17.8,740.4,761.2,1.5,69.0,从东北偏北方向吹来的风,3,,8.0,,云量发展情况没有进行观测或无法观测。 ,雨,在整个相应周期内云遮住了一半或以下的天空,17.8,21.5,,,,,,15.0,12.0,,12.0
2020-08-19 23:00,16.6,740.9,761.8,0.5,75.0,从东北方吹来的风,2,,8.0,,云量发展情况没有进行观测或无法观测。 ,,,16.6,21.5,,,,,,15.0,12.2,,12.0
2020-08-20 02:00,14.7,741.6,762.6,0.7,82.0,从北方吹来的风,2,,8.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,14.4,21.5,,,,,,15.0,11.7,,12.0
2020-08-20 05:00,13.2,742.3,763.4,0.7,88.0,从北方吹来的风,2,,8.0,,云量发展情况没有进行观测或无法观测。 ,,,13.2,21.5,,,,,,14.0,11.3,,12.0
2020-08-20 08:00,16.8,743.1,764.2,0.8,74.0,从东北偏北方向吹来的风,3,,6.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,13.0,21.5,,,,,,13.0,12.1,,12.0
2020-08-20 11:00,21.4,743.0,763.9,-0.1,58.0,从东北偏北方向吹来的风,3,,8.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,13.0,21.6,,,,,,16.0,12.8,,12.0
2020-08-20 14:00,22.8,742.0,762.9,-1.0,43.0,从东北偏北方向吹来的风,3,,8.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,13.0,22.9,,,,,,17.0,9.6,,12.0
2020-08-20 17:00,21.3,741.6,762.6,-0.4,43.0,从东北偏北方向吹来的风,3,,8.0,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,13.0,23.0,,,,,,17.0,8.2,,12.0
